od_id,src_lat,src_lng,dst_lat,dst_lng,src_anchor,dst_anchor,scenario,status,error,distance_km,duration_min,overhead_pct,calc_time_sec,danger_zones_crossed,danger_exposure_m,entered_danger_zone,warning_zones_crossed,warning_exposure_m,entered_warning_zone
13,40.752794,-73.985641,40.779804,-73.966433,Bryant Park,The Met (Museum Mile),airbnb,ok,,3.93,47.2,5.08,2.983,2,539.0,True,0,0.0,False
14,40.728828,-73.995438,40.766594,-73.978077,Washington Square Park,Central Park South,baseline,ok,,4.75,57.0,0.0,0.587,4,2417.3,True,3,329.5,True
14,40.728828,-73.995438,40.766594,-73.978077,Washington Square Park,Central Park South,nypd,ok,,5.64,67.7,18.74,1.736,0,0.0,False,3,470.7,True
14,40.728828,-73.995438,40.766594,-73.978077,Washington Square Park,Central Park South,airbnb,ok,,5.01,60.1,5.47,5.576,4,1678.9,True,0,0.0,False
15,40.673451,-73.971656,40.780861,-73.964348,Prospect Park (GAP),The Met (Museum Mile),baseline,ok,,14.54,142.1,0.0,0.582,2,584.5,True,2,112.3,True
15,40.673451,-73.971656,40.780861,-73.964348,Prospect Park (GAP),The Met (Museum Mile),nypd,ok,,14.55,142.2,0.07,2.866,0,0.0,False,1,91.9,True
15,40.673451,-73.971656,40.780861,-73.964348,Prospect Park (GAP),The Met (Museum Mile),airbnb,ok,,14.65,143.4,0.76,7.971,2,364.4,True,0,0.0,False
16,40.706129,-73.995065,40.758538,-73.976035,Brooklyn Bridge (Mnh),Rockefeller Center,baseline,ok,,9.9,66.9,0.0,0.495,1,278.4,True,0,0.0,False
16,40.706129,-73.995065,40.758538,-73.976035,Brooklyn Bridge (Mnh),Rockefeller Center,nypd,ok,,9.91,66.9,0.1,1.69,0,0.0,False,1,21.0,True
16,40.706129,-73.995065,40.758538,-73.976035,Brooklyn Bridge (Mnh),Rockefeller Center,airbnb,ok,,9.9,66.9,0.0,3.988,1,278.4,True,0,0.0,False
17,40.672234,-73.968005,40.708766,-74.002126,Prospect Park (GAP),South Street Seaport,baseline,ok,,6.34,76.1,0.0,0.616,0,0.0,False,1,53.6,True
17,40.672234,-73.968005,40.708766,-74.002126,Prospect Park (GAP),South Street Seaport,nypd,ok,,6.34,76.1,0.0,1.902,0,0.0,False,1,53.6,True
17,40.672234,-73.968005,40.708766,-74.002126,Prospect Park (GAP),South Street Seaport,airbnb,ok,,6.43,77.2,1.42,4.555,0,0.0,False,0,0.0,False
18,40.696779,-73.995586,40.702677,-73.991147,Brooklyn Heights Prom.,DUMBO,baseline,ok,,0.92,11.1,0.0,0.511,0,0.0,False,0,0.0,False
18,40.696779,-73.995586,40.702677,-73.991147,Brooklyn Heights Prom.,DUMBO,nypd,ok,,0.92,11.1,0.0,1.072,0,0.0,False,0,0.0,False
18,40.696779,-73.995586,40.702677,-73.991147,Brooklyn Heights Prom.,DUMBO,airbnb,ok,,0.92,11.1,0.0,1.974,0,0.0,False,0,0.0,False
19,40.770936,-73.981674,40.705456,-74.001551,Lincoln Center,South Street Seaport,baseline,ok,,10.57,81.8,0.0,0.605,1,830.5,True,1,68.1,True
