precinct,area_km2_real
1,4.380641272338914
5,1.6794716228399083
6,2.054858828916121
7,1.7049405864061908
9,1.9863477671367955
10,2.528069992527539
13,2.7398685822726168
14,1.904296788647131
17,2.068100790936079
18,2.9971197205497515
19,4.525150679283772
20,2.5691635122038483
22,3.556181960951265
23,1.993237602260479
24,2.3657355471233403
25,4.158980433699552
26,2.2131175932877203
28,1.4196019541395666
30,1.749018290652184
32,2.1364377567160155
33,2.401341368911425
34,4.838691215792284
40,5.608548242197415
41,5.770032051079088
42,4.161352608130545
43,10.522384975735445
44,5.155919738621082
45,25.210555738619217
46,3.5583008171451747
47,14.905518448518137
48,3.9978621242242474
49,9.824603061380602
50,12.637733545150429
52,7.438846264837168
60,8.186110650548224
61,12.500367069109938
62,9.582254053532234
63,21.303250106071673
66,9.24006787085211
67,8.70396460572938
68,10.300205532748166
69,9.963790176496486
70,7.630249695393762
71,4.208928604180556
72,9.716274114514333
73,4.806939441546084
75,17.0007359124121
76,4.478698048086042
77,3.960110011229287
78,6.283564363814323
79,4.175860151409652
81,3.2019033816582065
83,5.259885289477465
84,3.2925916652633216
88,3.9359303654795346
90,6.1418515328146865
94,6.0935958845608225
100,19.05353264161751
101,7.8621718933273765
102,12.378420009564742
103,9.3709227838057
104,19.545272181798964
105,32.25210652148268
106,16.019530344420676
107,19.267155632633802
108,12.961754519061818
109,29.962135581612323
110,10.408958346035758
111,24.156623710863965
112,8.258654111041462
113,36.17903587309704
114,16.7126467062974
115,10.519382307959328
120,21.588985023546602
121,44.165255395058864
122,42.222279180408286
123,42.77858884140998
