listing_id,comments_processed,longitude,latitude,is_unsafe
633939380745222351,"I was in a bit of a tizzy with a last-minute cancellation from another Airbnb. I had my in-laws and my parents staying in town for my husband's graduation, and nowhere to put them up. Natalie was able to accommodate us with less than 24 hours' notice.   The space had adequate accommodations (3 bedrooms and 2 bathrooms) for 4 people, with comfortable beds and air conditioning in each room (great for cooling down after a 100F day). The apartment also had a washer/dryer in the unit - my mum loved this, and did multiple loads of washing. The best part about the space was the outdoor area. It had about 6-7 chairs with shade from a big tree - excellent for an afternoon wine in the sun.  The only cons were the hot water did run out for 1 day, however, Natalie was able to fix the problem within an hour, and one curtain was missing from the main bedroom.   The only recommendation l would make is to add a toaster oven. Thank you for a great stay, Natalie. We'll definitely be back.",-73.96346,40.63991,0
633280941905350293,This was a great steal. I was in town and needed something quick. I was a little frustrated but Luciana made this trip better. Everything was clean and cozy. She responded quickly which made things a lot easier. I would definitely recommend! 5 stars,-73.92654,40.66064,0
633325241599587850,"Stay at Alicia was pretty much great, she did let us check in early as we wanted. Some of the drawbacks that we felt was with the Air conditioning: we were told that the room includes AC but Alicia didn’t know how to work it. We were told that they will fix it the second day but instead they got us two new fans and never bothered ti fix it. The weather outside was pretty hot so that the fans were not helping much. Second thing we felt weird and scary was during the day of our stay when it was raining Alicia texted me asking to close the windows, but then since we weren’t home at that moment I texted her saying that the windows are closed (which actually was). But then later when we got home someone entered our room and removed the fan from the window to close it. I enquired about it with Alicia but she completely ignored my message. We were never told that who did enter our room without letting us know first. We have never experienced this before so that if felt very uncomfortable. But other than that we had a great time at her place.",-73.77241,40.68391,0
631244738463229453,"I did not have a good experience unfortunately. There was a camera recording 24/7 being pointed directly at the bedroom I was staying in, and I felt very uncomfortable and unsafe. Also it’s clear he doesn’t live here, and it’s more of a crowded hostel situation. The bathroom was very unsanitary I had to clean someone’s Feces off the seat. Yes I have proof. I will not be staying in airbnbs anymore bc of this experience. There were way too many fines for any small detail, if u overslept 100 if you left luggage 100 etc list goes on. I am unsure if there’s even anyone who actually cleans the place. I didn’t stay there the first night & did not receive a refund. I’m extremely disappointed, and the internet wasn’t working. The camera was Very uncomfortable. And all the 1000 instructions in the apartment showing clearly the host does not live there and it’s just a business thing. Very sad.",-73.95638,40.81999,0
634035515694587483,Evan was so hard to get a hold of. His location is incredibly dangerous for this traveling from out of town seeing as how the air bnb is in the heart of Harlem. Locals strongly warn against even going to this location.   When Evan wouldn’t respond with checkin info and became difficult to get a hold of I had to book a hotel last minute. I worked with air bnb to cancel and get a refund and even wouldn’t even respond to them when they tried reaching out about the incident.   I do not recommend at all! Stay away from this one and save your money!,-73.9566,40.82196,1
634035515694587483,Even if the room was big and clean. The a/c was moldy and full of dust. It's smelled like basement in the room because of the mold. There is a pipe in the room that is hot as hell and not protected or isolated and so it is dangerous and also diffuse a lot of heat so you need to have the a/c on all the time if you want to be able to stay in the room,-73.9566,40.82196,0
631297971412473276,"Mark was extremely friendly and helpful. He was quickly available and even volunteered to help with my mom's dog. The apartment was clean and had a sizable bedroom if a kind of small main area.  That said, there were a few drawbacks. Chief among them is that the descent to the door is unsafe: It has no railing, the light does not turn on until you are down the steps, and the steps themselves are dirty and bare stone with a dirty drain at the bottom.  The place also does not have laundry or a dishwasher and is kind of ill furnished given the price.  That said, there are not often places available in the area and it is a great neighborhood with easy access to several subway lines and some of the best breweries and restaurants in Brooklyn, and it is extremely safe with nice hosts.",-73.981056,40.678982,0
634079132980276901,"This stay was incredible to put mildly. I visited my home place of Brooklyn NY for a very important and critical consultation for a very important procedure and Jaylin did everything possible to make my stay smooth and easy. From jump she was attentive, responsive, and kind. The apartment is so beautifully and carefully decorated, spacious, and VERY clean. I felt comfortable enough to walk around without being scared of dirt or grime. The kitchen was stocked with seasonings and everything needed to make my meals as I have tons of restrictions and rarely eat out. The lighting in the bedroom is amazing. Cozy bed, great furniture. Amazing water pressure and deep clean tub. You can tell great care was taken to make this as homey as possible. I felt so safe and very much appreciated the time spent. Jaylin, you did that girl! The nice touches of artists photos (we love Beyoncé chile yes mam!), magazines, bed trays, accessories.. all make it “home” LOVED this stay. 10/10 recommended!",-73.92301,40.67184,0
635474429874721360,"《Recommend Mo, he is a perfect landlord and friend! 》 Mo is a very warm-hearted and friendly landlord .   He recommended me many tourist attraction and cared about my life, we like friends.  Mo's home  heartwarming, clean, bright and feels like home.  The apartment has an elevator, it's very convenient for travelers.  The location  very safe. I go home at 10 pm, I didn’t feel afraid,because the streets near home are bright and there are many supermarkets、diner.  《強烈推薦Mo，他是一位滿分的房東/朋友！》 Mo是一位非常熱情、友善的房東/朋友。他熱情推薦我許多景點、並關心我的生活，到後面我們如同朋友般自在相處。 Mo的家溫馨、乾淨、明亮，很有家的感覺。 這棟公寓有電梯，這對旅行者來說十分便利。 住家位置十分安全，好幾次我晚上10左右才回家，都不會害怕  住家附近街道明亮，有超商、餐飲小吃店。",-73.97998,40.77823,0
635484369090867609,"The apartment is so cute and CLEAN, perfect for a girls trip. We were honestly amazed how updated and modern this place was! The livin/kitchenette was so nice and cozy, the rooms were so relaxing, the beds were supper comfortable with both room having its own air conditioner!We feel like we gotta steal for our money!   It was perfect , totally would recommend!",-73.878418,40.674915,0
