date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2018-01-01,2018.0,22.0,40.88286213132,-73.9035744897,50,BRONX,SEX CRIMES,FELONY,RESIDENCE - APT. HOUSE
2023-08-10,2023.0,13.0,40.697033,-73.97163,88,BROOKLYN,FRAUDS,MISDEMEANOR,BUS (NYC TRANSIT)
2023-01-01,2023.0,0.0,40.797116,-73.945899,23,MANHATTAN,GRAND LARCENY,FELONY,RESIDENCE - APT. HOUSE
2023-03-22,2023.0,9.0,40.581003,-74.098092,122,STATEN ISLAND,FRAUDS,MISDEMEANOR,RESIDENCE-HOUSE
2023-12-23,2023.0,19.0,40.61905,-73.925411,63,BROOKLYN,OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,RESIDENCE - APT. HOUSE
2023-12-15,2023.0,10.0,40.737693,-73.854828,110,QUEENS,HARRASSMENT 2,VIOLATION,STREET
2023-06-01,2023.0,6.0,40.77573,-73.94875,19,MANHATTAN,HARRASSMENT 2,VIOLATION,RESIDENCE - APT. HOUSE
2023-01-01,2023.0,0.0,40.67633,-74.008682,76,BROOKLYN,MISCELLANEOUS PENAL LAW,FELONY,RESIDENCE - PUBLIC HOUSING
2023-01-01,2023.0,7.0,40.820628,-73.956302,30,MANHATTAN,THEFT-FRAUD,FELONY,RESIDENCE - APT. HOUSE
2023-09-01,2023.0,0.0,40.86947047705,-73.87986080373,52,BRONX,RAPE,FELONY,RESIDENCE - APT. HOUSE
2022-06-16,2022.0,15.0,40.88731363447,-73.84727175776,47,BRONX,RAPE,FELONY,RESIDENCE - APT. HOUSE
2022-01-01,2022.0,20.0,40.68365124069,-74.00030431202,76,BROOKLYN,SEX CRIMES,MISDEMEANOR,RESIDENCE - APT. HOUSE
2023-12-28,2023.0,0.0,40.578541,-74.111987,122,STATEN ISLAND,THEFT-FRAUD,FELONY,RESIDENCE-HOUSE
2023-08-01,2023.0,14.0,40.795174,-73.962131,24,MANHATTAN,OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,RESIDENCE - APT. HOUSE
