latitude,longitude,crime_count
40.4989488,-74.24436508,1
40.500044,-74.237197,3
40.500382,-74.243916,1
40.500621,-74.236556,1
40.501092,-74.240347,1
40.501202,-74.236753,1
40.502037,-74.232878,1
40.502173,-74.237074,1
40.50225,-74.24123,2
40.502455,-74.253256,2
40.502702,-74.245657,1
40.502754,-74.237897,2
40.50280557,-74.25185131,2
40.502873,-74.244773,1
40.503224,-74.243019,1
40.50375755,-74.24702203,2
40.50411554,-74.24520023,1
40.504229,-74.250939,1
40.504526,-74.249203,1
40.50483126061,-74.24163928191,1
40.50506147,-74.24050019,1
40.50519466,-74.23981025,1
40.50552745437,-74.238175277,1
40.505563,-74.244768,1
40.505858,-74.236536,2
40.505924,-74.242973,1
40.505988,-74.254161,1
40.506101,-74.242079,2
40.506127,-74.239613,1
40.50618748,-74.23489446,2
40.506269,-74.252248,1
40.50675665,-74.23306248,1
40.50701596,-74.24431904,1
40.507211,-74.235235,3
40.507343,-74.254741,1
40.507419,-74.236139,1
40.50745297,-74.23882223,1
40.50839408,-74.24292159,2
40.50847771,-74.23031744,2
40.508599,-74.253187,1
40.50871524,-74.24804727,1
40.508741,-74.237991,1
40.50894231,-74.22158397,2
40.50904435,-74.24690131,1
40.50904435299,-74.24690131426,1
40.509171,-74.24648,1
40.509308,-74.236626,1
40.509315,-74.241969,1
40.50936,-74.247188,3
40.50942,-74.245653,1
40.50954196,-74.2452489,2
40.509806,-74.244366,2
40.509847,-74.233524,1
40.509881,-74.248171,2
40.50999258,-74.24374014,1
40.510119,-74.230886,1
40.510284,-74.248817,1
40.51051108,-74.24257325,1
40.5105181,-74.24827692,2
40.51066,-74.248416,10
40.510705,-74.242196,1
40.510741,-74.250433,1
40.51080296404,-74.24855489606,1
40.5111,-74.251806,1
40.511154,-74.241283,4
40.511577,-74.249302,10
40.51173557,-74.21043389,1
40.511745,-74.242878,1
40.51180398,-74.25003446,24
40.51203825352,-74.24975495245,31
40.512091,-74.247624,1
40.512197,-74.23931,1
40.512345,-74.231896,1
40.512402,-74.250099,1
40.51245189,-74.25014701,1
40.512549,-74.205903,1
40.51261296,-74.19705822,3
40.512706,-74.241844,2
40.512739,-74.250422,2
40.51298241,-74.23817306,1
40.51320071,-74.19685136,1
40.513239,-74.202234,1
40.51332379,-74.20027548,1
40.51332379292,-74.20027548925,1
40.51339318,-74.24255853,1
40.513561,-74.211202,1
40.5136441,-74.24970552,1
40.513651,-74.23539,2
40.513653,-74.19668,2
40.513676,-74.247391,1
40.51377974,-74.24918095,1
40.514295,-74.235824,3
40.514362,-74.247276,1
40.51465901,-74.24103822,1
40.514779,-74.248458,14
40.514912,-74.245437,3
40.51497,-74.236737,1
40.515066,-74.196077,1
40.515353,-74.236104,1
40.515694,-74.233696,8
40.515761,-74.236479,1
40.51591539,-74.24399191,1
40.51609855,-74.19564786,1
40.51615,-74.19775,1
40.51633659,-74.23282254,1
40.516506,-74.240403,1
40.516572,-74.196874,2
40.516594,-74.232563,1
40.51662415,-74.20278499,1
40.516772,-74.242233,2
40.5169075,-74.24080896,1
40.517192,-74.231949,1
40.517264,-74.19869,1
40.51726493,-74.2378862,1
40.517424,-74.233011,1
40.51770132,-74.24054207,1
40.51819632736,-74.22379422431,1
40.518508,-74.234606,20
40.518966,-74.194419,1
40.518971,-74.19539,1
40.51985,-74.187964,4
40.519855,-74.21152,1
40.51998332214,-74.22929964085,1
40.520186,-74.230162,1
40.520408,-74.196963,1
40.52091852,-74.23511168,4
40.521156,-74.237282,1
40.52118748,-74.22970661,1
40.52124842,-74.20475568,1
40.52128009,-74.23945791,1
40.521379,-74.209634,1
40.521605,-74.213147,2
40.521618,-74.217048,12
40.52199112,-74.18608308,1
40.522075,-74.222898,1
40.52236554,-74.21673311,2
40.52238301,-74.2147369,1
40.522439,-74.214277,1
40.52255,-74.234952,17
40.52257209,-74.1900053,1
40.52266,-74.219751,1
40.522721,-74.233678,1
40.522758,-74.2165,2
40.522989,-74.203688,1
40.52313776879,-74.21623924867,1
40.523151,-74.239232,13
40.523203,-74.185536,4
40.523547,-74.215955,2
40.52357853,-74.18721694,1
40.523693,-74.199848,1
40.52372,-74.21915,2
40.52395679,-74.21567357,1
40.52399756,-74.18609945,2
40.524027,-74.214885,3
40.524033,-74.205211,1
40.52409,-74.229616,1
40.52409698,-74.21409855,1
40.52418278,-74.23479224,1
40.52449232,-74.2003665,1
40.524653,-74.231366,1
40.52468082,-74.18957606,1
40.524733,-74.203081,1
40.52474000466,-74.23343453294,1
40.524904,-74.199748,1
40.524926,-74.213578,1
40.524949,-74.175277,1
40.525027,-74.200714,3
40.525081,-74.23703,2
40.525594,-74.237045,1
40.525983,-74.216449,1
40.52609012,-74.18031039,1
40.52609012439,-74.18031039332,1
40.526101,-74.208709,3
40.526166,-74.201851,3
40.526697,-74.230288,1
40.52671067,-74.17840919,1
40.52672,-74.166084,1
40.526806,-74.177564,4
40.527582,-74.239348,1
40.527587,-74.191658,8
40.527799,-74.232402,52
40.527884,-74.227217,32
40.52790847,-74.16485464,1
40.527917,-74.227172,11
40.528088,-74.237076,24
40.528089,-74.197889,1
40.52822468,-74.23937128,2
40.52822468585,-74.23937128591,2
40.52828031,-74.16395266,1
40.52831339,-74.19217634,1
40.52831339221,-74.19217634787,1
40.528341,-74.161718,1
40.528472,-74.163498,1
40.528577,-74.206853,1
40.528809,-74.197589,1
40.528851,-74.205269,2
40.528985,-74.202297,1
40.529019,-74.162198,3
40.529083,-74.158727,1
40.52914,-74.210474,1
40.52937369,-74.16135093,1
40.52945512,-74.21099689,1
40.529571,-74.162584,1
40.529587,-74.232331,15
