latitude,longitude,crime_count
40.51180398,-74.25003446,24
40.51203825352,-74.24975495245,31
40.518508,-74.234606,20
40.52255,-74.234952,17
40.527799,-74.232402,52
40.527884,-74.227217,32
40.528088,-74.237076,24
40.53277,-74.192222,21
40.540629,-74.17661,36
40.5449,-74.161376,22
40.559688,-74.169605,18
40.564361,-74.115914,20
40.566222,-74.114033,19
40.566793,-74.113458,17
40.567358,-74.112884,54
40.569057,-74.111184,19
40.56962,-74.108185,25
40.570191,-74.110036,24
40.5704668,-74.10976191,25
40.572404,-74.169965,31
40.57283,-73.995433,27
40.57384997,-74.10549598,17
40.57428568819,-74.10591440512,55
40.574818,-73.990926,18
40.575042,-73.999086,29
40.57521831,-73.99749819,18
40.575277,-73.996968,44
40.57530379,-73.97659102,36
40.575316,-74.169838,45
40.575463,-73.978324,55
40.575512,-73.994848,20
40.575545,-73.980141,30
40.575559,-73.981476,16
40.57556814,-73.98121659,203
40.57556814654,-73.98121659126,35
40.575635,-73.993789,25
40.57592616,-73.9911338,21
40.575984,-73.990604,36
40.57615688,-73.97598385,368
40.576275,-73.981391,24
40.57630372,-73.96853078,25
40.576309,-73.967943,21
40.576568,-73.985303,17
40.57664597804,-73.97648039607,109
40.576685,-73.984242,22
40.576707,-73.961289,20
40.5767433,-73.98371091,24
40.576801,-73.983181,20
40.576921,-73.982107,39
40.576947,-74.002691,23
40.57698177,-73.98156537,42
40.577183,-74.000569,20
40.577258,-73.976436,48
40.577312,-73.962821,19
40.577511,-73.961903,18
40.57761083,-73.96144207,44
40.577705,-73.961003,20
40.577896,-73.960099,62
40.57794503,-74.10231528,24
40.578004,-73.993693,16
40.578185,-74.169648,38
40.578282,-74.167223,17
40.579154,-74.00037,16
40.57981308,-73.83719881,18
40.579889,-73.973243,36
40.5799,-73.975432,18
40.57997229,-73.9746526,29
40.580277,-74.163175,17
40.58037949,-73.96760006,23
40.580496,-73.966902,32
40.580649,-73.837685,33
40.580675,-73.834152,17
40.582305,-74.169067,219
40.582307,-73.836412,41
40.582435,-73.967126,21
40.58262,-73.986223,89
40.58291,-73.955204,16
40.58369,-73.947904,25
40.583733,-73.946122,30
40.583873,-73.939482,17
40.584173,-73.932515,27
40.584301,-73.982908,16
40.584619,-74.072022,17
40.585621,-73.966393,17
40.58594334498,-73.81610192287,51
40.586222,-73.816011,16
40.58646531,-73.81652185,58
40.587178,-74.164527,78
40.58738242,-73.95421409,25
40.587384,-74.191042,27
40.587391,-73.812603,42
40.587505,-74.168164,37
40.587506,-73.811705,46
40.587534,-73.95472,34
40.588159,-74.166217,18
40.588379,-73.960433,17
40.58862006,-73.98372242,25
40.588814,-73.816632,17
40.589043,-74.101787,17
40.589528,-73.799755,30
40.590241,-73.95334,35
40.590346,-73.952376,16
40.590491,-73.970687,20
40.590625,-73.939999,41
40.59107783,-73.79596994,24
40.591579,-74.164607,17
40.592384,-73.978048,16
40.59241019,-73.78899501,20
40.592746,-73.940405,38
40.592877,-73.795651,59
40.59305673,-73.77531756,18
40.593716,-73.77496,16
40.593761,-73.784418,17
40.59401905866,-73.96085431584,87
40.594054,-73.960866,17
40.594115,-73.997577,92
40.594864,-73.940815,21
40.59497,-74.001062,121
40.59535,-74.086097,22
40.59570279,-74.00027726,26
40.595889,-73.973391,19
40.595944,-73.907243,27
40.596228,-73.754124,35
40.596406,-73.984697,16
40.597113,-73.941249,42
40.597236,-73.961106,20
40.59726,-73.986102,20
40.59726732,-73.99865686,20
40.597484,-73.763267,16
40.59792537,-73.98719146,34
40.59893852,-73.95547731,20
40.599028,-73.989026,17
40.599199,-73.953079,16
40.599438,-73.95089,19
40.59945,-73.961273,21
40.59971,-73.761425,19
40.59987182,-73.7615602,28
40.599883,-73.936954,19
40.600845,-73.754648,22
40.601493,-73.753555,24
40.601713,-73.993431,20
40.601727,-74.192701,18
40.60194979,-73.99380961,39
40.602186,-73.994198,25
40.60221616571,-74.00295079884,107
40.60277623008,-73.75011736483,62
40.60295162,-73.74997673,57
40.603052,-73.995688,23
40.603083,-73.750703,19
40.603406,-73.753843,28
40.604001,-73.754742,22
40.60419457,-73.97217653,31
40.60425884,-73.75285101,41
40.60456773,-73.75353771,22
40.60460965,-73.99825336,26
40.60478281,-73.75399789,86
40.60478281509,-73.75399789248,17
40.604832,-73.998625,29
40.605156,-73.754846,52
40.60517887,-73.98017107,19
40.605232,-73.980652,29
40.6053345,-73.75527433,22
40.605664,-73.984521,32
40.605839,-73.754896,16
40.606129,-73.819572,16
40.606728,-74.001776,30
40.606815,-73.959806,24
40.60704,-73.958904,32
40.607134,-73.957028,16
40.607178,-73.962385,22
40.607597,-74.121045,24
40.607743,-73.972792,18
40.60793187,-73.81604355,22
40.608157,-74.145595,16
40.608202,-74.162164,23
40.608565,-73.958719,20
40.608938,-73.957842,16
40.60913068,-73.95740454,59
40.609335,-73.956954,31
40.609575,-73.958437,50
40.609741,-73.95605,25
40.60980962,-73.92249759,16
40.610023,-73.922165,378
40.610028,-73.753587,25
40.61046,-73.954119,17
40.61074,-74.008409,19
40.610931,-73.920761,199
40.611268,-73.96262,53
40.612038,-73.981464,20
40.61235,-73.918649,28
40.612606,-74.083121,21
40.61261622,-74.0008428,19
40.61273366,-74.01171285,21
40.612965,-73.982359,29
40.613297,-73.917184,44
40.6135535,-73.98174977,16
40.613663,-74.158142,30
40.613717,-74.084818,29
40.614616,-74.084716,30
40.614774,-74.083046,16
40.61547,-74.081663,19
40.6159936,-74.03112773,22
40.616325,-74.172339,19
40.616997,-73.978153,19
40.617611,-74.033451,18
40.61811226,-73.95910617,20
40.618165,-73.958627,20
40.618243,-73.991083,18
40.618488,-73.992697,22
40.61894572,-73.99903464,21
40.618981,-73.926377,17
40.619435,-73.989874,34
40.620107,-73.99794,19
40.620584,-74.026995,17
40.62091383,-73.97529625,21
40.621234,-74.025789,18
40.62149264,-74.02621328,19
40.622145,-74.027282,125
40.6225,-74.025503,16
40.62279866,-74.02834994,50
40.622829,-73.917612,19
40.6231883776,-74.14923769473,88
40.623238,-74.149217,73
40.62358756,-74.08277059,27
40.6236888,-74.15065779,37
40.623796,-74.073767,17
40.623977,-74.081548,70
40.624236,-74.079408,17
40.624418,-74.139774,47
40.62460263,-74.07959815,21
40.625009,-74.147734,37
40.62510485,-74.14876859,17
40.625263,-74.150059,58
40.62528214,-73.9604671,28
40.625311,-73.917874,47
40.625819,-74.078759,34
40.62583754528,-73.99094489423,125
40.62606293,-73.99701716,18
40.626133,-74.157252,62
40.626157,-74.13411,40
40.626237,-74.175155,40
40.626335,-74.075445,17
40.626342,-74.130688,26
40.626492,-73.976342,30
40.62666389,-74.07564507,19
40.626851,-74.163438,83
40.627259,-74.165999,19
40.62797,-73.947101,23
40.6281697437,-73.94135878348,53
40.62887,-74.073928,25
40.62894118,-74.11618787,23
40.629112,-74.114774,39
40.629283,-73.918299,20
40.629309,-74.074579,20
40.629316,-73.884696,21
40.629337,-73.927989,37
40.629876,-74.076705,23
40.63036667,-73.97371311,32
40.630373,-73.947438,23
40.63059985044,-73.97370531603,120
40.630863,-74.103205,17
40.630932,-73.918479,18
40.631011,-73.976607,17
40.63125,-73.945995,29
40.631284,-73.945564,137
40.631338,-74.02188,16
40.63162,-74.076166,25
40.631677,-73.928239,28
40.631944,-73.887623,23
